date	deaths
19-Aug-1854	1
20-Aug-1854	1
21-Aug-1854	1
22-Aug-1854	0
23-Aug-1854	1
24-Aug-1854	1
25-Aug-1854	0
26-Aug-1854	1
27-Aug-1854	1
28-Aug-1854	1
29-Aug-1854	1
30-Aug-1854	8
31-Aug-1854	56
1-Sep-1854	143
2-Sep-1854	116
3-Sep-1854	54
4-Sep-1854	46
5-Sep-1854	36
6-Sep-1854	20
7-Sep-1854	28
8-Sep-1854	12
9-Sep-1854	11
10-Sep-1854	5
11-Sep-1854	5
12-Sep-1854	1
13-Sep-1854	3
14-Sep-1854	0
15-Sep-1854	1
16-Sep-1854	4
17-Sep-1854	2
18-Sep-1854	3
19-Sep-1854	0
20-Sep-1854	0
21-Sep-1854	2
22-Sep-1854	1
23-Sep-1854	1
24-Sep-1854	1
25-Sep-1854	1
26-Sep-1854	1
27-Sep-1854	1
28-Sep-1854	0
29-Sep-1854	0